,model,feature_group,feature,imp_mean,imp_std
31,DecisionTreeRegressor,quality+basic,person_capacity,0.25912462627033567,0.010029098072215381
32,DecisionTreeRegressor,quality+basic,bedrooms,0.19752900525554018,0.07202632019840155
33,DecisionTreeRegressor,quality+basic,cleanliness_rating,0.04616114718680262,0.011281063502300102
0,LinearRegression,all,entire_home_apt,4.5587430517061096e+24,1.609174963568022e+23
1,LinearRegression,all,room_private,4.558743051704725e+24,1.609174963567443e+23
2,LinearRegression,all,person_capacity,0.1262082422135219,0.016145906660670856
3,LinearRegression,all,bedrooms,0.08706867299444036,0.01377721428141354
4,LinearRegression,all,biz,0.04625064797140852,0.009164440440981768
5,LinearRegression,all,attr_index,0.0359958016754498,0.0026787446408154288
6,LinearRegression,all,guest_satisfaction_overall,0.023690604064267217,0.00580892327179815
7,LinearRegression,all,dist,0.010259004282449746,0.0032222153254582676
8,LinearRegression,all,lng,0.005307142727511538,0.0012128751903282152
9,LinearRegression,all,host_is_superhost,0.004432594202515472,0.0008279084920320665
10,LinearRegression,all,weekend,0.003458620428504311,0.001699671393092235
11,LinearRegression,all,lat,0.002088586851493024,0.0002842315247867385
12,LinearRegression,spatial,attr_index,0.04721262306548879,0.009059659612857348
13,LinearRegression,spatial,dist,0.025811046661782622,0.004020813455279513
14,LinearRegression,spatial,lng,0.007282928870938709,0.0022298508564758917
15,LinearRegression,quality,cleanliness_rating,0.024723902064685353,0.005676642159031662
16,LinearRegression,basic,entire_home_apt,2.690116121892419e+20,1.2763209573976994e+19
17,LinearRegression,basic,room_private,2.6901161217597368e+20,1.2763209573589418e+19
18,LinearRegression,basic,person_capacity,0.1530253738311857,0.009085896631570806
19,LinearRegression,basic,bedrooms,0.06631518089083713,0.006299479825855956
20,LinearRegression,basic,host_is_superhost,0.00042622980774140726,0.00017731851381840106
21,LinearRegression,spatial+basic,person_capacity,0.15128779005430104,0.011400382506157427
22,LinearRegression,spatial+basic,bedrooms,0.08016919399826901,0.007824844795802035
23,LinearRegression,spatial+basic,attr_index,0.04485206188150674,0.003716683351469351
24,LinearRegression,spatial+basic,entire_home_apt,0.030931081617864863,0.0067626302547926734
25,LinearRegression,spatial+basic,room_private,0.030931081617864797,0.006762630254792681
26,LinearRegression,spatial+basic,dist,0.006327103748203888,0.0017873158671876306
27,LinearRegression,spatial+basic,lng,0.005945747952015768,0.0008316627160096906
28,LinearRegression,quality+basic,person_capacity,0.1593637267431679,0.009805909068318545
29,LinearRegression,quality+basic,bedrooms,0.0609595807650549,0.01469023144614919
30,LinearRegression,quality+basic,room_private,0.03515678066880736,0.006196860528431657
31,LinearRegression,quality+basic,entire_home_apt,0.03515678066880734,0.006196860528431681
32,LinearRegression,quality+basic,cleanliness_rating,0.010978606968061522,0.0014063642061072014
33,LinearRegression,quality+basic,guest_satisfaction_overall,0.010486802233697112,0.0035685356964764567
